Rank,Name,Tag,Role,King Lvl,Trophies,Donated,Received,Fame,Repairs,Last Seen
1,b-nasty,#29VQVQJUJ,Elder,13,5475,432,0,5408,0,4h ago
2,Brommin,#8JJYLYGQ,Elder,13,5475,350,120,2362,104,2h ago
3,Gnasty,#2U9Y8RYC,Co-leader,13,5456,594,395,3828,0,1h ago
4,CB,#2G29LL82L,Co-leader,13,5422,206,240,1950,0,58m ago
5,DirtNastyL0w,#P0JVJYQV,Leader,13,5395,284,300,1806,598,1h ago
6,Conrizzle,#2LLV0L8YY,Member,13,5372,561,451,3737,415,6h ago
7,danimal9387,#29PURCVCU,Co-leader,13,5297,355,552,4680,0,2h ago
8,HERETIC,#9JGL0Y2GR,Member,13,5215,100,120,1440,0,1d ago
9,[==T4yl0r==],#L98GR9V,Elder,13,5036,188,304,1438,0,2h ago
10,Pricein99,#9RJQJ99,Elder,13,4985,343,298,2692,312,1h ago
11,The goat,#2C088JGGQ,Elder,13,4974,333,430,4090,485,4h ago
12,HoeyJoey69,#8RGQRQRV,Member,12,4962,8,0,1532,368,44m ago
13,lambflirta,#8JULVVLC,Member,13,4950,596,498,1380,392,8h ago
14,LuXxray,#2PV2JGUGC,Member,11,4916,440,280,1661,349,1d ago
15,b1rdman93,#99R2VQP2,Elder,13,4915,184,360,2408,280,4h ago
16,SValdez,#2R2P8V0QJ,Elder,13,4906,162,200,0,0,7h ago
17,SuperNaSTy,#PY2Q8UC0U,Member,12,4884,98,280,857,0,6h ago
18,Johnny,#J0Q0UVQ0,Member,11,4823,185,480,1276,319,15h ago
19,mojo,#2J98L0RQY,Member,11,4727,187,200,174,0,47m ago
20,Anthony,#Y2YLQQ8C,Member,12,4697,131,241,438,0,10h ago
21,heckfu,#9CR9J0JU,Member,12,4682,58,10,496,0,4h ago
22,Rayind08,#QV9C0R9L,Member,11,4681,0,0,0,0,12h ago
23,Ice Cube,#L2P0PC0Y,Member,12,4679,26,40,1146,0,1d ago
24,astonium13,#PJUYQ0RQQ,Member,10,4664,0,0,0,0,6h ago
25,B.K.H,#2Y2YJJ02J,Member,10,4614,54,240,0,0,1d ago
26,Clash Trash,#2VC9C82U,Member,12,4611,0,0,796,0,3h ago
27,Falor,#YPU2QJYR,Member,11,4577,0,0,0,0,6d ago
28,chikaboomboom,#VC2V20V,Elder,13,4473,0,0,0,0,1w ago
29,GREEKFREAK,#YQGPJYQC9,Member,11,4406,409,50,2606,0,1h ago
30,savagecoolgirl,#9QYVU0P9Y,Member,10,4404,0,0,0,0,1w ago
31,KySprtRdio,#9Q0GYPCC,Member,13,4383,0,0,0,0,1w ago
32,Deeznuts,#8Q0Y2U88,Elder,12,4242,86,0,0,0,1d ago
33,Flying Tortuga,#8G28VRJ9U,Elder,12,4232,146,200,0,0,4h ago
34,Alex9,#PRC2UJ8QL,Member,10,4199,0,0,0,0,2w ago
35,PUBG,#YU9U8Y00R,Member,11,4168,53,80,336,0,1d ago
36,Flying Turtle,#9CRVJCJG,Elder,12,4145,0,0,0,0,2w ago
37,big daddy,#Y2UJVCY9C,Member,10,4109,0,0,0,0,2w ago
38,GEW14,#PVUUJU8P,Elder,13,4022,0,0,0,0,1mo ago
39,Sharma,#2L8V28CYL,Elder,12,4021,0,0,0,0,3w ago
40,Alan,#2GYYCY2V,Member,11,4014,0,0,0,0,2mo ago
41,TheSacko,#VUPRVYLJ,Member,12,4008,0,0,0,0,3w ago
42,RD.Rios,#P98PJR2VJ,Member,10,4008,0,0,0,0,3w ago
43,Jan The Dragon,#2PUJ8VQRC,Elder,13,4006,0,0,0,0,3mo ago
44,Euthimis 8,#YQ8QV0YQ9,Member,10,4006,0,0,0,0,1mo ago
45,Pravis,#LL8VRPJC,Elder,12,4001,0,0,0,0,2mo ago
46,DFrank,#G0QJR0G00,Member,9,4000,0,0,0,0,2w ago
47,little man,#UUV988L,Elder,13,3639,320,520,2407,369,1h ago